Name,MX_IFD
Eth-Trunk1,ae1
Eth-Trunk2,ae2
Eth-Trunk21,ae21
Eth-Trunk22,ae22
Eth-Trunk3,ae3
Eth-Trunk4,ae4
Eth-Trunk5,ae5
Eth-Trunk6,ae6
Eth-Trunk7,ae7
Eth-Trunk8,ae8
GigabitEthernet0/0/0,
GigabitEthernet2/0/0,xe-0/0/0
GigabitEthernet3/0/0,xe-7/0/0
GigabitEthernet3/1/0,ge-0/2/0
GigabitEthernet3/1/1,ge-0/2/1
GigabitEthernet3/1/10,ge-0/3/0
GigabitEthernet3/1/11,ge-0/3/1
GigabitEthernet3/1/2,ge-0/2/2
GigabitEthernet3/1/3,ge-0/2/3
GigabitEthernet3/1/4,ge-0/2/4
GigabitEthernet3/1/5,ge-0/2/5
GigabitEthernet3/1/6,ge-0/2/6
GigabitEthernet3/1/7,ge-0/2/7
GigabitEthernet3/1/8,ge-0/2/8
GigabitEthernet3/1/9,ge-0/2/9
GigabitEthernet4/0/0,ge-0/3/2
GigabitEthernet4/0/1,ge-0/3/3
GigabitEthernet4/0/10,ge-7/2/2
GigabitEthernet4/0/11,ge-7/2/3
GigabitEthernet4/0/2,ge-7/3/7
GigabitEthernet4/0/3,ge-0/3/5
GigabitEthernet4/0/4,ge-7/3/6
GigabitEthernet4/0/5,ge-0/3/7
GigabitEthernet4/0/6,ge-0/3/8
GigabitEthernet4/0/7,ge-0/3/9
GigabitEthernet4/0/8,ge-7/2/0
GigabitEthernet4/0/9,ge-7/2/1
GigabitEthernet4/1/0,ge-7/2/4
GigabitEthernet4/1/1,ge-7/2/5
GigabitEthernet4/1/10,ge-7/3/4
GigabitEthernet4/1/11,ge-7/3/5
GigabitEthernet4/1/2,ge-7/2/6
GigabitEthernet4/1/3,ge-7/2/7
GigabitEthernet4/1/4,ge-7/2/8
GigabitEthernet4/1/5,ge-7/2/9
GigabitEthernet4/1/6,ge-7/3/0
GigabitEthernet4/1/7,ge-7/3/1
GigabitEthernet4/1/8,ge-7/3/2
GigabitEthernet4/1/9,ge-7/3/3
LoopBack,lo0
Vlanif,irb
